Developer,Genre,Name,Platform,Publisher,Rating,Year of Release,Critic Count,Critic Score,EU Sales,Global Sales,JP Sales,NA Sales,Other Sales,Rank,User Count,User Score
Nintendo,Sports,Wii Sports,Wii,Nintendo,E,2006,51,76,28.96,82.53,3.77,41.36,8.45,1,322,8
Nintendo,Racing,Mario Kart Wii,Wii,Nintendo,E,2008,73,82,12.76,35.52,3.79,15.68,3.29,3,709,8.3
Nintendo,Sports,Wii Sports Resort,Wii,Nintendo,E,2009,73,80,10.93,32.77,3.28,15.61,2.95,4,192,8
Nintendo,Platform,New Super Mario Bros.,DS,Nintendo,E,2006,65,89,9.14,29.8,6.5,11.28,2.88,7,431,8.5
Nintendo,Misc,Wii Play,Wii,Nintendo,E,2006,41,58,9.18,28.92,2.93,13.96,2.84,8,129,6.6
Nintendo,Platform,New Super Mario Bros. Wii,Wii,Nintendo,E,2009,80,87,6.94,28.32,4.7,14.44,2.24,9,594,8.4
Nintendo,Racing,Mario Kart DS,DS,Nintendo,E,2005,64,91,7.47,23.21,4.13,9.71,1.9,12,464,8.6
Nintendo,Sports,Wii Fit,Wii,Nintendo,E,2007,63,80,8.03,22.7,3.6,8.92,2.15,14,146,7.7
Nintendo,Sports,Wii Fit Plus,Wii,Nintendo,E,2009,33,80,8.49,21.79,2.53,9.01,1.77,15,52,7.4
Good Science Studio,Misc,Kinect Adventures!,X360,Microsoft Game Studios,E,2010,45,61,4.89,21.81,0.24,15,1.69,16,106,6.3
Rockstar North,Action,Grand Theft Auto V,PS3,Take-Two Interactive,M,2013,50,97,9.09,21.04,0.98,7.02,3.96,17,3994,8.2
Rockstar North,Action,Grand Theft Auto V,PS3,Take-Two Interactive,M,2013,58,97,5.14,16.27,0.06,9.66,1.41,17,3711,8.1
Rockstar North,Action,Grand Theft Auto V,PS3,Take-Two Interactive,M,2014,66,97,6.31,12.61,0.38,3.96,1.97,17,2899,8.3
Rockstar North,Action,Grand Theft Auto V,PS3,Take-Two Interactive,M,2014,14,97,2.19,5.48,0,2.81,0.47,17,764,7.9
Rockstar North,Action,Grand Theft Auto V,PS3,Take-Two Interactive,M,2015,57,96,0.69,1.17,0,0.39,0.09,17,3756,7.9
Rockstar North,Action,Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,M,2004,80,95,0.4,20.81,0.41,9.43,10.57,18,1588,9
Rockstar North,Action,Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,AO,2005,58,93,0.61,1.95,0,1.26,0.09,18,118,8.6
Rockstar North,Action,Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,M,2005,47,93,0.93,0.97,0,0,0.04,18,1841,8.9
Nintendo,Misc,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,E,2005,58,77,9.2,20.15,4.16,4.74,2.04,20,50,7.9
Rockstar North,Action,Grand Theft Auto V,X360,Take-Two Interactive,M,2013,50,97,9.09,21.04,0.98,7.02,3.96,24,3994,8.2
Rockstar North,Action,Grand Theft Auto V,X360,Take-Two Interactive,M,2013,58,97,5.14,16.27,0.06,9.66,1.41,24,3711,8.1
Rockstar North,Action,Grand Theft Auto V,X360,Take-Two Interactive,M,2014,66,97,6.31,12.61,0.38,3.96,1.97,24,2899,8.3
Rockstar North,Action,Grand Theft Auto V,X360,Take-Two Interactive,M,2014,14,97,2.19,5.48,0,2.81,0.47,24,764,7.9
Rockstar North,Action,Grand Theft Auto V,X360,Take-Two Interactive,M,2015,57,96,0.69,1.17,0,0.39,0.09,24,3756,7.9
Rockstar North,Action,Grand Theft Auto: Vice City,PS2,Take-Two Interactive,M,2002,62,95,5.49,16.15,0.47,8.41,1.78,25,730,8.7
Rockstar North,Action,Grand Theft Auto: Vice City,PS2,Take-Two Interactive,M,2003,30,94,0.03,0.04,0,0,0.01,25,1520,8.8
Nintendo,Puzzle,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,E,2005,37,77,5.35,15.29,5.32,3.43,1.18,28,19,7.1
Polyphony Digital,Racing,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,E,2001,54,95,5.09,14.98,1.87,6.85,1.16,29,314,8.4
"Infinity Ward, Sledgehammer Games",Shooter,Call of Duty: Modern Warfare 3,X360,Activision,M,2011,81,88,4.24,14.73,0.13,9.04,1.32,30,8713,3.4
"Infinity Ward, Sledgehammer Games",Shooter,Call of Duty: Modern Warfare 3,X360,Activision,M,2011,39,88,5.73,13.32,0.49,5.54,1.57,30,5234,3.2
"Infinity Ward, Sledgehammer Games",Shooter,Call of Duty: Modern Warfare 3,X360,Activision,M,2011,26,78,0.98,1.72,0,0.41,0.32,30,5664,2.5
"Treyarch, Sledgehammer Games",Shooter,Call of Duty: Modern Warfare 3,X360,Activision,M,2011,16,70,0.2,0.82,0,0.55,0.08,30,442,1.8
Treyarch,Shooter,Call of Duty: Black Ops,X360,Activision,M,2010,89,87,3.68,14.61,0.11,9.7,1.13,32,1454,6.3
Treyarch,Shooter,Call of Duty: Black Ops,X360,Activision,M,2010,58,88,4.37,12.63,0.48,5.99,1.79,32,1094,6.4
Treyarch,Shooter,Call of Duty: Black Ops,X360,Activision,M,2010,25,80,0.45,1.37,0,0.8,0.12,32,87,5.8
n-Space,Shooter,Call of Duty: Black Ops,X360,Activision,T,2010,13,74,0.04,0.58,0,0.5,0.04,32,54,6
Treyarch,Shooter,Call of Duty: Black Ops II,PS3,Activision,M,2012,21,83,5.73,13.79,0.65,4.99,2.42,35,922,5.3
Treyarch,Shooter,Call of Duty: Black Ops II,PS3,Activision,M,2012,73,83,4.24,13.67,0.07,8.25,1.12,35,2256,4.8
Treyarch,Shooter,Call of Duty: Black Ops II,PS3,Activision,M,2012,11,74,0.69,1.53,0,0.64,0.19,35,1635,4.2
Treyarch,Shooter,Call of Duty: Black Ops II,PS3,Activision,M,2012,31,81,0.18,0.41,0,0.2,0.03,35,228,6.9
Treyarch,Shooter,Call of Duty: Black Ops II,X360,Activision,M,2012,21,83,5.73,13.79,0.65,4.99,2.42,36,922,5.3
Treyarch,Shooter,Call of Duty: Black Ops II,X360,Activision,M,2012,73,83,4.24,13.67,0.07,8.25,1.12,36,2256,4.8
Treyarch,Shooter,Call of Duty: Black Ops II,X360,Activision,M,2012,11,74,0.69,1.53,0,0.64,0.19,36,1635,4.2
Treyarch,Shooter,Call of Duty: Black Ops II,X360,Activision,M,2012,31,81,0.18,0.41,0,0.2,0.03,36,228,6.9
Infinity Ward,Shooter,Call of Duty: Modern Warfare 2,X360,Activision,M,2009,100,94,3.59,13.47,0.08,8.52,1.28,37,2698,6.3
Infinity Ward,Shooter,Call of Duty: Modern Warfare 2,X360,Activision,M,2009,67,94,3.64,10.6,0.38,4.99,1.6,37,2073,6.3
Infinity Ward,Shooter,Call of Duty: Modern Warfare 2,X360,Activision,M,2009,40,86,0.79,0.88,0,0.01,0.09,37,6430,4.2
"Infinity Ward, Sledgehammer Games",Shooter,Call of Duty: Modern Warfare 3,PS3,Activision,M,2011,81,88,4.24,14.73,0.13,9.04,1.32,38,8713,3.4
"Infinity Ward, Sledgehammer Games",Shooter,Call of Duty: Modern Warfare 3,PS3,Activision,M,2011,39,88,5.73,13.32,0.49,5.54,1.57,38,5234,3.2
"Infinity Ward, Sledgehammer Games",Shooter,Call of Duty: Modern Warfare 3,PS3,Activision,M,2011,26,78,0.98,1.72,0,0.41,0.32,38,5664,2.5
"Treyarch, Sledgehammer Games",Shooter,Call of Duty: Modern Warfare 3,PS3,Activision,M,2011,16,70,0.2,0.82,0,0.55,0.08,38,442,1.8
DMA Design,Action,Grand Theft Auto III,PS2,Take-Two Interactive,M,2001,56,97,4.51,13.1,0.3,6.99,1.3,39,664,8.5
"DMA Design, Rockstar North",Action,Grand Theft Auto III,PS2,Take-Two Interactive,M,2002,20,93,0.01,0.01,0,0,0,39,805,8.4
Game Arts,Fighting,Super Smash Bros. Brawl,Wii,Nintendo,T,2008,81,93,2.55,12.84,2.66,6.62,1.01,40,1662,8.9
Treyarch,Shooter,Call of Duty: Black Ops,PS3,Activision,M,2010,89,87,3.68,14.61,0.11,9.7,1.13,41,1454,6.3
Treyarch,Shooter,Call of Duty: Black Ops,PS3,Activision,M,2010,58,88,4.37,12.63,0.48,5.99,1.79,41,1094,6.4
Treyarch,Shooter,Call of Duty: Black Ops,PS3,Activision,M,2010,25,80,0.45,1.37,0,0.8,0.12,41,87,5.8
n-Space,Shooter,Call of Duty: Black Ops,PS3,Activision,T,2010,13,74,0.04,0.58,0,0.5,0.04,41,54,6
Nintendo,Simulation,Animal Crossing: Wild World,DS,Nintendo,E,2005,57,86,3.45,12.13,5.33,2.5,0.86,42,242,8.7
"Retro Studios, Entertainment Analysis & Development Division",Racing,Mario Kart 7,3DS,Nintendo,E,2011,73,85,4.02,12.66,2.69,5.03,0.91,43,632,8.2
"Bungie Software, Bungie",Shooter,Halo 3,X360,Microsoft Game Studios,M,2007,86,94,2.81,12.12,0.13,7.97,1.21,44,4100,7.8
Rockstar North,Action,Grand Theft Auto V,PS4,Take-Two Interactive,M,2013,50,97,9.09,21.04,0.98,7.02,3.96,45,3994,8.2
